DCM_5uM_(slits_5_5)_(PMT_600)_(Em_442)_medium,,ACN_5uM_(slits_5_5)_(PMT_600)_(Em_460)_medium,,EtOH_5uM_(slits_5_5)_(PMT_600)_(Em_485)_medium,,DMF_5uM_(slits_5_5)_(PMT_600)_(Em_456)_medium,,DMSO_5uM_(slits_5_5)_(PMT_600)_(Em_463)_medium,
W1,I1,W2,I2,W3,I3,W4,I4,W5,I5
250,165.0523224,225,194.4237976,225,242.0591431,285,242.3615112,285,294.4685669
250.9299927,168.3671265,225.9299927,185.5364532,225.9299927,225.3186951,285.9299927,245.9740753,285.9299927,308.0774231
252.0299988,164.5976105,227.0299988,196.317749,227.0299988,245.8878174,287.0299988,251.6602631,287.0299988,312.7348022
252.9600067,159.832077,227.9600067,208.0291901,227.9600067,257.462677,287.9599915,254.368103,287.9599915,316.0325012
254.0599976,163.8945618,229.0599976,208.1258087,229.0599976,262.7435913,289.0599976,260.7895813,289.0599976,331.5091858
255,165.3319092,230,217.5585022,230,267.4315796,290,261.1786804,290,337.1097412
255.9299927,163.4194489,230.9299927,220.3874359,230.9299927,273.4766235,290.9299927,269.9213562,290.9299927,345.2715454
257.0299988,157.0257111,232.0299988,212.9788971,232.0299988,265.5142822,292.0299988,274.9596863,292.0299988,357.0537109
257.9599915,152.0445099,232.9600067,219.4552612,232.9600067,280.9953613,292.9599915,280.2806396,292.9599915,360.2204285
259.0599976,158.6674042,234.0599976,220.2863922,234.0599976,276.1422424,294.0599976,282.6520081,294.0599976,365.0821533
260,161.9375763,235,217.2037506,235,289.044281,295,287.6726379,295,376.4585571
260.9299927,161.8080444,235.9299927,214.7192688,235.9299927,282.659729,295.9299927,294.4215088,295.9299927,388.0409546
262.0299988,162.2730865,237.0299988,219.4811859,237.0299988,293.2680359,297.0299988,299.4256287,297.0299988,392.8388672
262.9599915,161.4356842,237.9600067,212.5810852,237.9600067,290.8094788,297.9599915,301.4856567,297.9599915,394.9258118
264.0599976,157.4985352,239.0599976,215.6576385,239.0599976,291.4639282,299.0599976,301.5979309,299.0599976,401.8166504
265,162.8748322,240,210.926239,240,289.9044495,300,303.9466248,300,409.0434265
265.9299927,161.9281158,240.9299927,215.6941528,240.9299927,293.7972412,301.0700073,306.6231384,301.0700073,415.6206055
267.0299988,164.5545807,242.0299988,215.7182617,242.0299988,299.791626,302,311.0853271,302,414.0672607
267.9599915,163.7989502,242.9600067,217.4097137,242.9600067,299.7087708,303.0700073,314.8815002,303.0700073,428.3647461
269.0599976,166.5932159,244.0599976,210.0358734,244.0599976,294.8034058,304,319.6404114,304,433.9237366
270,167.6569061,245,207.9124146,245,287.875061,305.0700073,319.484375,305.0700073,437.6790466
271.0700073,170.1080475,245.9299927,210.785675,245.9299927,289.181488,306,326.2384033,306,430.9742126
272,174.928833,247.0299988,207.3715515,247.0299988,288.3867188,307.0700073,332.5195007,307.0700073,445.3581238
273.0700073,173.0976105,247.9600067,204.3827667,247.9600067,291.3657532,308,333.4757996,308,450.6602783
274,175.1361389,249.0599976,201.8914185,249.0599976,291.5014648,309.0700073,340.6314697,309.0700073,458.507782
275.0700073,179.9623566,250,203.6680298,250,294.3000488,310,346.5381775,310,466.6171875
276,180.8470306,250.9299927,201.8192749,250.9299927,286.5570984,311.0700073,345.9620056,311.0700073,472.6636047
277.0700073,186.0490875,252.0299988,196.0393219,252.0299988,278.990387,312,350.9488831,312,475.395874
278,186.9268494,252.9600067,195.0345459,252.9600067,285.1118469,313.0700073,353.1412048,313.0700073,484.993866
279.0700073,193.8681488,254.0599976,192.8345032,254.0599976,273.6689758,314,363.6622009,314,491.2468262
280,192.3171234,255,193.7966003,255,272.0679932,315.0700073,372.1341248,315.0700073,500.5701294
280.9299927,200.5657654,255.9299927,186.899292,255.9299927,280.5922241,316,363.0858459,316,497.5860596
282.0299988,204.3629608,257.0299988,186.2175751,257.0299988,281.0912476,317.0700073,371.5103149,317.0700073,505.6930847
282.9599915,214.7195587,257.9599915,187.7592316,257.9599915,273.22052,318,383.6747131,318,509.716156
